epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.61774,1.5972,9.79903,3.39698,2.11021,0.00419,0.84375,0.27246,0.18907,0.00315,0.63889,0.16675,0.06327,1.26971,7.87424,2.93443,1.94747,0.0907607,4.64286e-05,4.64286e-05
2,2.99762,1.56722,6.72514,3.41258,2.0645,0.00417,0.84375,0.23893,0.15592,0.00393,0.78819,0.19654,0.05303,1.24044,4.42422,2.93183,1.91784,0.0808098,9.54739e-05,9.54739e-05
3,3.97547,1.51481,5.31116,3.34773,2.01963,0.00435,0.875,0.2051,0.13492,0.00413,0.81944,0.18095,0.06664,1.21904,3.23901,2.91286,1.95453,0.0708578,0.000143529,0.000143529
4,4.84875,1.50804,4.34685,3.3382,2.01375,0.00416,0.84375,0.17573,0.11948,0.00393,0.78819,0.1369,0.04977,1.18069,2.64319,2.90141,1.93217,0.0609049,0.000190595,0.000190595
5,5.79393,1.40409,3.95748,3.32875,1.92959,0.00435,0.875,0.20187,0.13225,0.00413,0.81944,0.16729,0.04458,1.17971,2.47804,2.90299,1.91496,0.050951,0.00023667,0.00023667
6,6.82577,1.40042,3.75005,3.29645,1.90588,0.00435,0.875,0.23686,0.14312,0.00391,0.76389,0.12217,0.04708,1.16426,2.32347,2.87497,1.90053,0.040996,0.000281755,0.000281755
7,7.4693,1.31575,3.52899,3.24985,1.82351,0.00416,0.84375,0.28064,0.17607,0.00372,0.73264,0.15765,0.06873,1.15293,2.24945,2.8574,1.87925,0.0310401,0.000325851,0.000325851
8,8.83506,1.31351,3.4675,3.22607,1.83359,0.00436,0.875,0.31881,0.22907,0.00394,0.78819,0.30892,0.12392,1.1669,2.13783,2.82192,1.85732,0.0210832,0.000368956,0.000368956
9,9.86471,1.31146,3.13813,3.17801,1.81991,0.00436,0.875,0.37794,0.27475,0.00436,0.875,0.36903,0.18808,1.1709,2.04544,2.78941,1.83278,0.0111254,0.000411071,0.000411071
10,10.8799,1.23769,3.07543,3.18229,1.76636,0.00437,0.875,0.36547,0.2652,0.00415,0.81944,0.3096,0.17928,1.16593,1.95496,2.74093,1.80717,0.00116648,0.000452197,0.000452197
11,12.2163,1.22195,3.05419,3.1733,1.74962,0.00436,0.875,0.39571,0.2896,0.00415,0.81944,0.30939,0.19865,1.16098,1.92568,2.70648,1.77388,0.0004505,0.0004505,0.0004505
12,13.5473,1.21133,2.95938,3.12515,1.73364,1,0.1007,0.49186,0.34521,1,0.1007,0.342,0.2161,1.13292,1.88219,2.66331,1.72329,0.00044555,0.00044555,0.00044555
13,14.2346,1.17883,2.97339,3.07878,1.71224,1,0.10584,0.55281,0.40389,1,0.10584,0.40902,0.24021,1.13219,1.85682,2.62972,1.69029,0.0004406,0.0004406,0.0004406
14,15.3947,1.08874,2.77167,3.02779,1.60054,1,0.11729,0.60981,0.45842,1,0.11729,0.47608,0.28562,1.14852,1.83481,2.58426,1.68809,0.00043565,0.00043565,0.00043565
