epoch,train_box_loss,train_seg_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_seg_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50-95,mask_mAP50,mask_mAP50-95,learning_rate,timestamp
1,0,0,0,0,1.19588,4.13715,2.93522,1.89067,0.00481,0.86765,0.17564,0.11162,0.13583,0.04291,0.09048260869565218,2025-11-15 23:28:11
2,0,0,0,0,1.1658,2.87248,2.91814,1.87693,0.00476,0.86765,0.20843,0.13285,0.16584,0.06557,0.08053164021739131,2025-11-15 23:28:12
3,0,0,0,0,1.19867,2.60097,2.90226,1.90111,0.00464,0.85294,0.20108,0.1294,0.15778,0.05595,0.07057968173913043,2025-11-15 23:28:13
4,0,0,0,0,1.15437,2.31062,2.86428,1.85312,0.00471,0.86765,0.26652,0.16525,0.19047,0.07797,0.06062673326086957,2025-11-15 23:28:14
5,0,0,0,0,1.14763,2.13219,2.81034,1.80932,0.00471,0.86765,0.30704,0.20217,0.2504,0.11555,0.05067279478260869,2025-11-15 23:28:15
6,0,0,0,0,1.08623,2.08427,2.7583,1.74941,0.0047,0.86765,0.32702,0.25059,0.30679,0.15789,0.04071786630434783,2025-11-15 23:28:16
7,0,0,0,0,1.0734,2.05343,2.69063,1.71545,0.17003,0.63299,0.37432,0.28804,0.35607,0.19463,0.03076194782608696,2025-11-15 23:28:17
8,0,0,0,0,1.13604,1.97004,2.62236,1.72798,1.0,0.07075,0.43526,0.33076,0.41174,0.22607,0.0208050393478261,2025-11-15 23:28:18
9,0,0,0,0,1.14514,1.89564,2.54422,1.70259,1.0,0.17071,0.48688,0.35023,0.47084,0.2406,0.010847140869565217,2025-11-15 23:28:19
10,0,0,0,0,1.13043,1.85295,2.49427,1.67639,1.0,0.20545,0.50719,0.36474,0.50189,0.25512,0.0008882523913043422,2025-11-15 23:28:20
11,0,0,0,0,1.11903,1.7781,2.40451,1.657,0.79762,0.28486,0.53425,0.38732,0.53768,0.27503,0.0004505,2025-11-15 23:28:21
12,0,0,0,0,1.08965,1.7462,2.35702,1.63239,0.74103,0.30914,0.55129,0.41207,0.55522,0.28765,0.00044555,2025-11-15 23:28:22
13,0,0,0,0,1.09318,1.70993,2.30803,1.6255,0.82618,0.40165,0.5725,0.43237,0.57521,0.31383,0.0004406,2025-11-15 23:28:23
14,0,0,0,0,1.03288,1.62054,2.1702,1.57197,0.82972,0.46863,0.60626,0.45571,0.57133,0.3356,0.00043565,2025-11-15 23:28:24
15,0,0,0,0,1.01762,1.58311,2.10573,1.55669,0.69686,0.48721,0.61731,0.46643,0.62761,0.3581,0.0004307,2025-11-15 23:28:25
16,0,0,0,0,0.99651,1.54462,2.00718,1.52348,0.76034,0.50002,0.66779,0.51345,0.66688,0.394,0.00042575,2025-11-15 23:28:26
17,0,0,0,0,0.99575,1.53627,1.96477,1.51678,0.78424,0.50734,0.67997,0.52409,0.6492,0.39866,0.00042080000000000004,2025-11-15 23:28:27
18,0,0,0,0,0.96417,1.50147,1.84659,1.48924,0.81823,0.54646,0.70113,0.5471,0.69964,0.42636,0.00041585,2025-11-15 23:28:28
19,0,0,0,0,0.96433,1.46471,1.79959,1.48999,0.80987,0.5515,0.71658,0.55475,0.68658,0.43249,0.00041090000000000007,2025-11-15 23:28:29
20,0,0,0,0,0.96096,1.43854,1.7774,1.48154,0.78613,0.56777,0.72566,0.55398,0.69612,0.44519,0.00040595000000000003,2025-11-15 23:28:30
21,0,0,0,0,0.95846,1.39492,1.70398,1.47464,0.79046,0.57391,0.74904,0.55767,0.74729,0.44954,0.00040100000000000004,2025-11-15 23:28:31
22,0,0,0,0,0.9702,1.3731,1.6752,1.48083,0.78216,0.58417,0.75998,0.57092,0.72778,0.4669,0.00039605,2025-11-15 23:28:32
23,0,0,0,0,0.93384,1.33434,1.63494,1.4586,0.72384,0.64749,0.78325,0.58962,0.75248,0.49053,0.0003911,2025-11-15 23:28:33
24,0,0,0,0,0.91267,1.31285,1.59537,1.43488,0.71217,0.65435,0.78689,0.59881,0.78421,0.49923,0.00038615,2025-11-15 23:28:34
25,0,0,0,0,0.90514,1.2928,1.53984,1.42428,0.96224,0.59338,0.80173,0.60331,0.79137,0.51172,0.0003812,2025-11-15 23:28:35
26,0,0,0,0,0.89042,1.27217,1.51658,1.41288,0.79884,0.65601,0.8142,0.62121,0.80504,0.52192,0.00037624999999999996,2025-11-15 23:28:36
27,0,0,0,0,0.86992,1.24259,1.46246,1.39495,0.77573,0.68542,0.82036,0.62216,0.81233,0.53802,0.0003713,2025-11-15 23:28:37
28,0,0,0,0,0.88765,1.23035,1.44725,1.41048,0.79566,0.7159,0.82671,0.62979,0.82025,0.53854,0.00036635000000000004,2025-11-15 23:28:38
29,0,0,0,0,0.89516,1.22916,1.43434,1.41454,0.78275,0.74425,0.82865,0.62864,0.82514,0.53428,0.0003614,2025-11-15 23:28:39
30,0,0,0,0,0.86593,1.21192,1.39648,1.39065,0.76823,0.75895,0.8375,0.65399,0.83387,0.54675,0.00035645,2025-11-15 23:28:40
31,0,0,0,0,0.86214,1.20242,1.37848,1.38632,0.80852,0.7948,0.84218,0.65821,0.84218,0.55782,0.0003515,2025-11-15 23:28:41
32,0,0,0,0,0.86538,1.17006,1.32689,1.38423,0.80256,0.8098,0.85972,0.67456,0.85972,0.58432,0.00034655,2025-11-15 23:28:42
33,0,0,0,0,0.86507,1.1691,1.31586,1.38353,0.79103,0.82192,0.86312,0.68374,0.86312,0.5793,0.00034159999999999995,2025-11-15 23:28:43
34,0,0,0,0,0.8714,1.16285,1.27772,1.3784,0.80138,0.84745,0.88152,0.69382,0.88152,0.59385,0.00033664999999999997,2025-11-15 23:28:44
35,0,0,0,0,0.87701,1.15402,1.26645,1.37893,0.90833,0.76136,0.88976,0.70104,0.88976,0.60445,0.00033169999999999993,2025-11-15 23:28:45
36,0,0,0,0,0.88812,1.15286,1.25667,1.38199,0.92908,0.77733,0.8933,0.70603,0.8933,0.61077,0.00032675,2025-11-15 23:28:46
37,0,0,0,0,0.8882,1.14725,1.23918,1.3707,0.93757,0.77437,0.90932,0.72064,0.90932,0.61316,0.0003218,2025-11-15 23:28:47
38,0,0,0,0,0.88115,1.14141,1.23351,1.35764,0.86576,0.80091,0.91064,0.71769,0.91064,0.60357,0.00031685000000000003,2025-11-15 23:28:48
39,0,0,0,0,0.85537,1.12146,1.21432,1.33129,0.97467,0.77356,0.91795,0.73384,0.91795,0.61661,0.0003119,2025-11-15 23:28:49
40,0,0,0,0,0.82875,1.1123,1.1932,1.30813,0.92565,0.82672,0.92053,0.74014,0.92053,0.63358,0.00030695,2025-11-15 23:28:50
41,0,0,0,0,0.80031,1.09532,1.18339,1.28758,0.9274,0.83184,0.92289,0.75263,0.92289,0.64027,0.000302,2025-11-15 23:28:51
42,0,0,0,0,0.79218,1.09316,1.16276,1.28206,0.93414,0.83184,0.92407,0.75231,0.92407,0.64314,0.00029705000000000004,2025-11-15 23:28:52
43,0,0,0,0,0.80318,1.08766,1.1571,1.28771,0.87465,0.87185,0.92804,0.75584,0.94307,0.65687,0.00029210000000000005,2025-11-15 23:28:53
44,0,0,0,0,0.82359,1.08477,1.15327,1.30471,0.91062,0.89277,0.94386,0.75198,0.92927,0.65836,0.00028715,2025-11-15 23:28:54
45,0,0,0,0,0.83304,1.07229,1.14245,1.31329,0.92508,0.8996,0.94838,0.7591,0.94838,0.66252,0.00028220000000000003,2025-11-15 23:28:55
46,0,0,0,0,0.8426,1.06142,1.10802,1.31706,0.9213,0.90574,0.9497,0.75876,0.9497,0.66548,0.00027725,2025-11-15 23:28:56
47,0,0,0,0,0.84198,1.05164,1.10332,1.31667,0.9253,0.90365,0.95046,0.7586,0.95046,0.66614,0.00027230000000000006,2025-11-15 23:28:58
48,0,0,0,0,0.83146,1.03354,1.07954,1.31179,0.93013,0.91765,0.95195,0.75982,0.95195,0.68019,0.00026735,2025-11-15 23:28:59
49,0,0,0,0,0.83055,1.02463,1.07617,1.31273,0.93947,0.91818,0.95484,0.75971,0.94145,0.67881,0.00026240000000000004,2025-11-15 23:29:00
50,0,0,0,0,0.84289,1.00685,1.08887,1.32084,0.93516,0.92473,0.95615,0.7616,0.94227,0.67346,0.00025745,2025-11-15 23:29:01
51,0,0,0,0,0.84295,1.00052,1.09146,1.31812,0.92424,0.90916,0.94242,0.76434,0.94242,0.67528,0.0002525,2025-11-15 23:29:02
52,0,0,0,0,0.8247,0.99213,1.09151,1.30202,0.93196,0.91944,0.94259,0.76381,0.94259,0.68108,0.00024754999999999997,2025-11-15 23:29:04
53,0,0,0,0,0.81345,0.98258,1.08942,1.28927,0.93445,0.91944,0.94265,0.77002,0.94265,0.6817,0.0002426,2025-11-15 23:29:05
54,0,0,0,0,0.80981,0.98442,1.0899,1.28568,0.93016,0.91944,0.95745,0.76646,0.9445,0.6824,0.00023765,2025-11-15 23:29:06
55,0,0,0,0,0.79755,0.97605,1.08015,1.27162,0.95503,0.91944,0.95595,0.76702,0.95595,0.68448,0.0002327,2025-11-15 23:29:07
56,0,0,0,0,0.78962,0.9656,1.0808,1.26063,0.95218,0.91944,0.95873,0.77269,0.95873,0.69195,0.00022774999999999998,2025-11-15 23:29:09
57,0,0,0,0,0.77958,0.95382,1.06889,1.25476,0.98377,0.91554,0.9599,0.7915,0.9599,0.7035,0.00022279999999999997,2025-11-15 23:29:10
58,0,0,0,0,0.78288,0.95141,1.06678,1.25721,0.98168,0.91885,0.9606,0.79138,0.9606,0.70369,0.00021785,2025-11-15 23:29:11
59,0,0,0,0,0.74101,0.94757,1.05605,1.23059,0.98006,0.91944,0.95942,0.80143,0.95942,0.70714,0.00021290000000000002,2025-11-15 23:29:12
60,0,0,0,0,0.74289,0.94718,1.05508,1.23388,0.97921,0.91944,0.9599,0.80125,0.9599,0.71622,0.00020795000000000004,2025-11-15 23:29:13
61,0,0,0,0,0.74735,0.94165,1.05888,1.23867,0.97725,0.91944,0.96034,0.80108,0.96034,0.71235,0.00020300000000000003,2025-11-15 23:29:14
62,0,0,0,0,0.74415,0.93179,1.04239,1.23597,0.975,0.91944,0.9595,0.79959,0.9595,0.71736,0.00019805000000000002,2025-11-15 23:29:16
63,0,0,0,0,0.74685,0.93043,1.03246,1.23791,0.97566,0.91944,0.96102,0.79973,0.96102,0.70874,0.0001931,2025-11-15 23:29:17
64,0,0,0,0,0.74196,0.92547,1.0149,1.23662,0.97896,0.91944,0.95864,0.79874,0.95864,0.7068,0.00018815000000000002,2025-11-15 23:29:18
65,0,0,0,0,0.74488,0.92303,1.02111,1.24205,0.97284,0.91944,0.95926,0.79623,0.95926,0.70848,0.0001832,2025-11-15 23:29:19
66,0,0,0,0,0.71394,0.92234,0.98828,1.21846,0.98237,0.91402,0.95998,0.80022,0.96453,0.70863,0.00017825,2025-11-15 23:29:20
67,0,0,0,0,0.71747,0.9202,0.99218,1.22384,0.98073,0.91304,0.94816,0.79729,0.95232,0.70672,0.00017329999999999998,2025-11-15 23:29:21
68,0,0,0,0,0.68947,0.92059,0.98021,1.20471,0.98149,0.91944,0.94893,0.80862,0.95269,0.71766,0.00016834999999999997,2025-11-15 23:29:23
69,0,0,0,0,0.69654,0.92753,0.97914,1.20685,0.98019,0.92338,0.96106,0.80482,0.95327,0.71801,0.0001634,2025-11-15 23:29:24
70,0,0,0,0,0.69546,0.93093,0.97196,1.20475,0.98611,0.91944,0.96046,0.80483,0.96533,0.71292,0.00015845000000000003,2025-11-15 23:29:25
71,0,0,0,0,0.6917,0.92591,0.98084,1.20166,0.98008,0.92349,0.96178,0.80237,0.96624,0.71501,0.00015350000000000002,2025-11-15 23:29:26
72,0,0,0,0,0.68817,0.92634,0.96732,1.20022,0.99994,0.91627,0.96302,0.80441,0.96705,0.71376,0.00014855,2025-11-15 23:29:28
73,0,0,0,0,0.70742,0.90496,0.97886,1.21295,0.9986,0.91868,0.96265,0.80275,0.96711,0.71995,0.00014360000000000002,2025-11-15 23:29:29
74,0,0,0,0,0.71058,0.89818,0.97854,1.21225,0.99911,0.91726,0.96341,0.80323,0.96787,0.71799,0.00013865000000000004,2025-11-15 23:29:30
75,0,0,0,0,0.7179,0.89237,0.97952,1.2148,0.99817,0.91671,0.96345,0.8048,0.96676,0.71522,0.00013370000000000002,2025-11-15 23:29:31
76,0,0,0,0,0.71004,0.89237,0.97403,1.20865,0.9669,0.93077,0.96258,0.80734,0.96568,0.72259,0.00012875,2025-11-15 23:29:32
77,0,0,0,0,0.70703,0.89249,0.96723,1.20942,0.9659,0.9298,0.96251,0.80273,0.965,0.72446,0.0001238,2025-11-15 23:29:33
78,0,0,0,0,0.6965,0.89011,0.95443,1.2011,0.9658,0.92923,0.96299,0.79907,0.96631,0.72101,0.00011885,2025-11-15 23:29:35
79,0,0,0,0,0.6983,0.88977,0.9579,1.20213,0.97286,0.91944,0.96234,0.79942,0.96565,0.71934,0.00011389999999999999,2025-11-15 23:29:36
80,0,0,0,0,0.69516,0.89267,0.95482,1.19828,0.98843,0.90473,0.96194,0.79787,0.9661,0.7245,0.00010894999999999999,2025-11-15 23:29:37
81,0,0,0,0,0.69505,0.89283,0.94871,1.19809,0.98866,0.90473,0.96234,0.80338,0.96609,0.7217,0.00010399999999999998,2025-11-15 23:29:39
82,0,0,0,0,0.69547,0.89266,0.95695,1.19887,0.97243,0.91944,0.96311,0.80684,0.96577,0.7207,9.904999999999997e-05,2025-11-15 23:29:40
83,0,0,0,0,0.70273,0.89081,0.95764,1.20261,0.97104,0.91944,0.96485,0.80618,0.96721,0.72177,9.410000000000004e-05,2025-11-15 23:29:42
84,0,0,0,0,0.7011,0.89511,0.95391,1.20176,0.96532,0.92949,0.96486,0.80675,0.96722,0.7178,8.915000000000003e-05,2025-11-15 23:29:44
85,0,0,0,0,0.69586,0.8976,0.95946,1.20112,0.96589,0.92825,0.96442,0.80368,0.96774,0.72155,8.420000000000003e-05,2025-11-15 23:29:45
86,0,0,0,0,0.69345,0.89655,0.95746,1.20138,0.99359,0.90473,0.96508,0.80481,0.96691,0.71946,7.925000000000002e-05,2025-11-15 23:29:46
87,0,0,0,0,0.68229,0.88462,0.95161,1.19414,0.99296,0.90473,0.96501,0.80963,0.96684,0.73002,7.43e-05,2025-11-15 23:29:48
88,0,0,0,0,0.68341,0.88277,0.95817,1.19347,0.98854,0.90473,0.9651,0.80828,0.96693,0.73037,6.935e-05,2025-11-15 23:29:49
89,0,0,0,0,0.67931,0.87506,0.94693,1.19073,0.99028,0.90473,0.96463,0.81061,0.96717,0.73154,6.440000000000001e-05,2025-11-15 23:29:51
90,0,0,0,0,0.67557,0.87787,0.94753,1.18873,0.98684,0.90473,0.96503,0.81514,0.96757,0.73311,5.944999999999999e-05,2025-11-15 23:29:53
91,0,0,0,0,0.67925,0.87642,0.94806,1.19096,0.985,0.90473,0.96462,0.81826,0.9658,0.72702,5.449999999999999e-05,2025-11-15 23:29:54
92,0,0,0,0,0.68161,0.87405,0.94737,1.19162,0.98453,0.90473,0.96424,0.81864,0.96542,0.72818,4.9549999999999985e-05,2025-11-15 23:29:56
93,0,0,0,0,0.68375,0.87956,0.94519,1.19435,0.97741,0.90812,0.96491,0.81031,0.96552,0.72791,4.459999999999998e-05,2025-11-15 23:29:57
94,0,0,0,0,0.67531,0.8735,0.93723,1.18698,0.98707,0.90473,0.9647,0.81217,0.96588,0.73004,3.964999999999997e-05,2025-11-15 23:29:59
95,0,0,0,0,0.68055,0.87536,0.94019,1.18855,0.98676,0.90473,0.96428,0.81103,0.96546,0.72438,3.4700000000000024e-05,2025-11-15 23:30:00
96,0,0,0,0,0.67688,0.87426,0.93769,1.18774,0.97364,0.91646,0.96467,0.81238,0.96585,0.72882,2.9750000000000025e-05,2025-11-15 23:30:01
97,0,0,0,0,0.67988,0.87455,0.94151,1.1885,0.98552,0.90473,0.96587,0.81111,0.96587,0.72694,2.480000000000002e-05,2025-11-15 23:30:03
98,0,0,0,0,0.67519,0.87673,0.9405,1.18653,0.97422,0.91648,0.96525,0.81489,0.96525,0.73056,1.9850000000000015e-05,2025-11-15 23:30:04
99,0,0,0,0,0.67122,0.87937,0.94134,1.18381,0.97353,0.91749,0.96461,0.8127,0.96514,0.72902,1.4900000000000012e-05,2025-11-15 23:30:06
100,0,0,0,0,0.68083,0.87634,0.95565,1.19022,0.97791,0.91605,0.96476,0.81317,0.96593,0.73234,9.950000000000005e-06,2025-11-15 23:30:08
100,0,0,0,0,0,0,0,0,0.9864425038896338,0.9047314578005115,0.9650232559145818,0.8194043175637153,0.9675611869490646,0.7330116368050845,9.950000000000005e-06,2025-11-15 23:30:11
100,0,0,0,0,0,0,0,0,0.9864425038896338,0.9047314578005115,0.9650232559145818,0.8194043175637153,0.9675611869490646,0.7330116368050845,0.0005,2025-11-15 23:30:12
