epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5626,1.89955,7.16346,1.72105,0.43443,0.01852,0.03098,0.01587,1.17023,5.76654,1.40819,5.716e-05,5.716e-05,5.716e-05
2,16.4404,1.56787,7.08479,1.50847,1,0.27427,0.33579,0.29385,1.11307,4.0464,1.31262,0.000126488,0.000126488,0.000126488
3,21.3852,1.24784,3.30587,1.3332,0.6633,0.75085,0.76747,0.54794,1.31468,2.20788,1.34984,0.000193458,0.000193458,0.000193458
4,26.8128,1.28839,2.59507,1.35462,0.80028,0.75,0.76638,0.54689,1.21307,1.55585,1.26137,0.00025807,0.00025807,0.00025807
5,32.7162,1.35156,2.34594,1.39461,0.65819,0.73148,0.73587,0.52786,1.20995,2.24651,1.27819,0.000320325,0.000320325,0.000320325
6,38.0097,1.21039,2.05803,1.28902,0.83535,0.80556,0.81478,0.51958,1.40394,2.17418,1.44619,0.000380221,0.000380221,0.000380221
7,42.7486,1.20534,1.96915,1.31788,0.70697,0.77172,0.73386,0.47191,1.40997,1.49961,1.45939,0.00043776,0.00043776,0.00043776
8,47.6964,1.08356,1.44117,1.20963,0.62926,0.75,0.75761,0.48672,1.36345,1.63844,1.52394,0.000492941,0.000492941,0.000492941
9,52.0053,1.11622,1.5161,1.27171,0.66214,0.82537,0.76798,0.48743,1.48621,1.76255,1.7732,0.000545764,0.000545764,0.000545764
10,59.212,1.0798,1.35675,1.21402,0.5918,0.80243,0.80477,0.48542,1.43597,1.5103,1.67005,0.000596229,0.000596229,0.000596229
11,64.7748,1.07801,1.20817,1.2216,0.73448,0.86111,0.77188,0.48783,1.41908,1.24188,1.6631,0.000644336,0.000644336,0.000644336
12,69.4838,0.97397,0.99181,1.12317,0.64532,0.85563,0.76449,0.54352,1.21534,1.22837,1.35727,0.000690086,0.000690086,0.000690086
13,74.1741,1.28997,1.33402,1.35959,0.6622,0.8371,0.79298,0.51996,1.21456,1.18806,1.40857,0.000733477,0.000733477,0.000733477
