epoch,train_loss,val_loss,precision,recall,mAP50,mAP50-95,learning_rate,timestamp
1,0,9.35009,0.00453,0.35049,0.02728,0.01811,5.7159999999999995e-05,2025-11-15 18:01:34
2,0,8.01635,0.73564,0.22839,0.32287,0.25422,0.00012648793499999997,2025-11-15 18:01:37
3,0,7.27712,0.87393,0.73393,0.78329,0.53154,0.00019345801999999998,2025-11-15 18:01:39
4,0,5.45428,0.87397,0.71563,0.76809,0.52992,0.000258070255,2025-11-15 18:01:41
5,0,5.20204,0.96562,0.78431,0.8322,0.63753,0.00032032464,2025-11-15 18:01:43
6,0,8.889470000000001,0.92843,0.72465,0.83789,0.59872,0.000380221175,2025-11-15 18:01:45
7,0,7.86154,0.81485,0.85065,0.86286,0.63269,0.00043775986,2025-11-15 18:01:48
8,0,4.36979,0.90138,0.87831,0.89673,0.63712,0.000492940695,2025-11-15 18:01:49
9,0,4.398890000000001,0.7291,0.86623,0.89274,0.5823,0.00054576368,2025-11-15 18:01:51
10,0,4.2336,0.83331,0.83439,0.85191,0.52024,0.000596228815,2025-11-15 18:01:53
11,0,4.5332099999999995,0.75054,0.83686,0.86266,0.57197,0.0006443361,2025-11-15 18:01:55
12,0,4.10025,0.78756,0.88235,0.88663,0.57079,0.0006900855349999999,2025-11-15 18:01:57
13,0,4.3739799999999995,0.76351,0.81146,0.87922,0.53436,0.0007334771199999999,2025-11-15 18:01:59
14,0,3.95198,0.84898,0.84069,0.87719,0.54755,0.0007745108549999999,2025-11-15 18:02:01
15,0,3.6043600000000002,0.9162,0.92129,0.92473,0.59507,0.0008131867399999999,2025-11-15 18:02:03
16,0,3.6936400000000003,0.89319,0.88235,0.88636,0.60208,0.0008495047749999999,2025-11-15 18:02:04
17,0,3.7687,0.76931,0.80392,0.86867,0.58838,0.0008834649600000001,2025-11-15 18:02:06
18,0,3.4169099999999997,0.7825,0.84314,0.83501,0.5923,0.0009150672949999999,2025-11-15 18:02:08
19,0,3.36774,0.8535,0.90196,0.90698,0.61427,0.0009443117799999999,2025-11-15 18:02:10
20,0,3.28885,0.81375,0.84314,0.87736,0.62966,0.000971198415,2025-11-15 18:02:12
21,0,3.18891,0.88665,0.81634,0.87066,0.6225,0.00095743,2025-11-15 18:02:14
22,0,3.26288,0.80846,0.86275,0.89855,0.63977,0.0009338514999999999,2025-11-15 18:02:16
23,0,3.22914,0.77258,0.88235,0.88999,0.64362,0.000910273,2025-11-15 18:02:18
24,0,2.9294200000000004,0.82971,0.93071,0.89391,0.67992,0.0008866945,2025-11-15 18:02:20
25,0,3.03263,0.86579,0.87625,0.90022,0.68867,0.0008631159999999999,2025-11-15 18:02:22
26,0,3.14548,0.93923,0.90196,0.93557,0.67712,0.0008395374999999999,2025-11-15 18:02:24
27,0,3.35984,0.93043,0.90196,0.9232,0.65232,0.0008159589999999999,2025-11-15 18:02:26
28,0,3.1987699999999997,0.85523,0.86275,0.91692,0.68771,0.0007923804999999999,2025-11-15 18:02:27
29,0,3.13251,0.90738,0.84508,0.93597,0.69257,0.000768802,2025-11-15 18:02:29
30,0,3.1538,0.87941,0.90196,0.93815,0.68589,0.0007452234999999999,2025-11-15 18:02:31
31,0,3.21819,0.93425,0.91292,0.94275,0.66767,0.0007216449999999999,2025-11-15 18:02:33
32,0,2.9001799999999998,0.87834,0.91831,0.92561,0.69567,0.0006980664999999999,2025-11-15 18:02:35
33,0,2.84048,0.89907,0.90196,0.92669,0.71288,0.000674488,2025-11-15 18:02:37
34,0,2.86648,0.91134,0.87561,0.92455,0.69705,0.0006509094999999999,2025-11-15 18:02:39
35,0,2.89611,0.86803,0.91505,0.9198,0.67069,0.000627331,2025-11-15 18:02:42
36,0,2.78734,0.86508,0.90196,0.92012,0.66927,0.0006037525,2025-11-15 18:02:44
37,0,2.7137000000000002,0.87288,0.89353,0.9177,0.66972,0.000580174,2025-11-15 18:02:46
38,0,2.69902,0.83515,0.92157,0.90762,0.6798,0.0005565955,2025-11-15 18:02:47
39,0,2.66344,0.86861,0.90486,0.91587,0.69615,0.0005330170000000001,2025-11-15 18:02:50
40,0,2.70014,0.89975,0.90196,0.9269,0.70084,0.0005094384999999999,2025-11-15 18:02:52
41,0,2.62919,0.89988,0.91459,0.93617,0.7271,0.00048586,2025-11-15 18:02:54
42,0,2.56949,0.89461,0.89308,0.93935,0.74102,0.0004622815,2025-11-15 18:02:56
43,0,2.6062000000000003,0.93863,0.87405,0.94243,0.72828,0.00043870300000000003,2025-11-15 18:02:58
44,0,2.7867800000000003,0.94782,0.87476,0.93185,0.69292,0.00041512449999999996,2025-11-15 18:03:00
45,0,2.72468,0.94547,0.86275,0.92924,0.70062,0.0003915460000000001,2025-11-15 18:03:02
46,0,2.6520799999999998,0.8546,0.92157,0.91878,0.71683,0.0003679675,2025-11-15 18:03:04
47,0,2.62771,0.88098,0.9192,0.91916,0.71654,0.00034438899999999996,2025-11-15 18:03:06
48,0,2.58862,0.93831,0.86275,0.92765,0.70899,0.0003208105,2025-11-15 18:03:08
49,0,2.6115999999999997,0.88396,0.90196,0.93419,0.71526,0.0002972319999999999,2025-11-15 18:03:10
50,0,2.58872,0.84957,0.96078,0.9469,0.72482,0.0002736535,2025-11-15 18:03:12
51,0,2.6340000000000003,0.86105,0.96078,0.95067,0.73322,0.00025007499999999994,2025-11-15 18:03:18
52,0,2.6257,0.88682,0.974,0.95407,0.72107,0.00022649650000000003,2025-11-15 18:03:20
53,0,2.6245200000000004,0.87764,0.96078,0.95252,0.71984,0.00020291799999999998,2025-11-15 18:03:22
54,0,2.60253,0.89074,0.96078,0.96074,0.7368,0.00017933950000000002,2025-11-15 18:03:24
55,0,2.62206,0.87555,0.96078,0.9567,0.73172,0.00015576099999999995,2025-11-15 18:03:26
56,0,2.62038,0.89212,0.98039,0.96162,0.72826,0.00013218250000000004,2025-11-15 18:03:28
57,0,2.63506,0.90077,0.98039,0.96255,0.73338,0.00010860399999999998,2025-11-15 18:03:30
58,0,2.6120900000000002,0.90401,0.97975,0.9639,0.73765,8.502550000000006e-05,2025-11-15 18:03:32
59,0,2.61217,0.90331,0.98039,0.96387,0.73869,6.1447e-05,2025-11-15 18:03:33
60,0,2.58878,0.90212,0.98039,0.96396,0.74056,3.786850000000007e-05,2025-11-15 18:03:35
60,0,0,0.918051404681041,0.9215686274509803,0.9369055984231786,0.7244843339154456,3.786850000000007e-05,2025-11-15 18:03:38
60,0,0,0.918051404681041,0.9215686274509803,0.9369055984231786,0.7244843339154456,0.001,2025-11-15 18:03:39
